Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bhután,BTN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,2.639242333,2.628748328,2.628748328,2.628748328,2.628748328,2.628748328,2.621644295,2.477453859,2.46460409,,,
Botswana,BWA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,0.457007746,0.57170081,0.502884972,0.494062428,0.709332486,0.458066451,0.458066451,0.458066451,0.458066451,,,
República Centroafricana,CAF,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,2.889338342,2.889338342,2.889338342,2.889338342,2.889338342,2.889338342,2.889338342,2.889338342,2.889338342,,,
Canadá,CAN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,4.203515887,4.158677789,4.186450641,4.214223492,4.241996344,4.269880733,4.297542047,4.295199758,4.315053443,,,
Europa Central y del Báltico,CEB,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,33.64577233,33.82607853,33.63720776,32.93308225,33.05585784,32.93971987,32.74725811,32.70254755,32.91501938,,,
Suiza,CHE,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,10.23635996,10.22117623,10.21864561,10.19591305,10.10835611,10.08195408,10.08945484,10.07651831,10.07537701,,,
Islas del Canal,CHI,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,21.76767677,22.27272727,22.02020202,21.26262626,21.06060606,20,20.15151515,19.29292929,19.29292929,,,
Chile,CHL,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,1.709408606,1.77127548,1.725547791,1.760516024,1.733886369,1.765895752,1.707794688,1.724202859,1.631402549,,,
China,CHN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,12.87784131,12.80041683,12.72820233,12.70719317,12.69589308,12.68935693,12.68081675,12.67850328,12.6782458,,,
Côte d'Ivoire,CIV,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,9.119496855,9.119496855,9.433962264,11.00628931,11.00628931,11.00628931,11.00628931,11.00628931,11.00628931,,,
Camerún,CMR,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,13.11586385,13.11586385,13.11586385,13.11586385,13.11586385,13.11586385,13.11586385,13.11586385,13.11586385,,,
"Congo, República Democrática del",COD,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,2.999492733,3.087713107,5.062085089,5.249112282,5.469663219,5.513773406,5.425553031,5.205002095,5.205002095,,,
"Congo, República del",COG,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,1.49341142,1.551976574,1.551976574,1.610541728,1.610541728,1.610541728,1.610541728,1.610541728,1.610541728,,,
Colombia,COL,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,1.589004056,1.429472735,1.42226228,1.515998197,1.538260478,1.560612889,1.582875169,5.424966201,5.426768815,,,
